area,state,station_id,station_name,sensor_id,parameter,value,unit,datetime_utc,station_lat,station_lon
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",19951,,98.65,,2022-10-31T01:45:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",19927,,390.0,,2022-10-31T01:45:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",19924,,7.71,,2022-10-31T01:45:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6937,"Sector-10, Gandhinagar - GPCB",19949,,35.29,,2022-10-31T01:45:00Z,23.221714,72.654328
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",14082767,,59.11,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",14082768,,31.58,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235735,,0.39,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235737,,42.61,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235740,,40.2,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235741,,22.56,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235736,,7.8,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235738,,21.7,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",12235739,,70.08,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",14341927,,190.25,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",14341928,,1.72,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",14341926,,0.03635,,2026-06-18T04:15:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",19964,,1.78,,2022-10-31T02:00:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",20140,,32.58,,2022-10-31T02:00:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",19959,,60.03,,2022-10-31T02:00:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",20136,,760.0,,2022-10-31T02:00:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",20141,,52.61,,2022-10-31T02:00:00Z,22.969611,72.6435
Ahmedabad,Gujarat,6942,"Phase-4 GIDC, Vatva - GPCB",20138,,3.09,,2022-10-31T02:00:00Z,22.969611,72.6435
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236538,,8.42,,2026-06-18T04:15:00Z,23.016834,72.625775
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236537,,22.15,,2026-06-18T04:15:00Z,23.016834,72.625775
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236540,,16.35,,2026-06-18T04:15:00Z,23.016834,72.625775
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236542,,43.67,,2026-06-18T04:15:00Z,23.016834,72.625775
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236543,,31.12,,2026-06-18T04:15:00Z,23.016834,72.625775
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236541,,59.93,,2026-06-18T04:15:00Z,23.016834,72.625775
Ahmedabad,Gujarat,227533,"Rakhial, Ahmedabad - IITM",12236536,,7.77,,2026-06-18T04:15:00Z,23.016834,72.625775
